slug,nome,pais,descricao
,Federico García Lorca,Espanha,"Poeta e dramaturgo espanhol nascido perto de Granada em 1898, o nome mais popular da poesia espanhola moderna. Fez parte da Geração de 27 e conviveu com Salvador Dalí e Luis Buñuel na Residência de Estudantes de Madri. Em Romancero Gitano, uniu forma popular e imagem vanguardista falando dos ciganos andaluzes perseguidos. Em Poeta em Nova York, escrito depois da crise de 1929, despejou um horror urbano cheio de solidariedade com os negros do Harlem. No teatro, escreveu a trilogia rural com Bodas de Sangue, Yerma e A Casa de Bernarda Alba, todas centradas em mulheres esmagadas por honra, desejo reprimido e vigilância social. Foi fuzilado por forças franquistas em 1936, no início da Guerra Civil, e seu corpo nunca foi encontrado."
,Fiódor Dostoiévski,Rússia,"Romancista russo nascido em Moscou em 1821, o escritor que mais fundo desceu na consciência humana. Aos 28 anos foi preso por participar de um grupo de discussão política, condenado à morte e levado ao paredão, onde soube da comutação da pena segundos antes do fuzilamento, encenação cruel ordenada pelo czar. Cumpriu quatro anos de trabalhos forçados na Sibéria, e voltou de lá epilético, religioso e definitivamente interessado em gente dividida. Escreveu Crime e Castigo, sobre um estudante que mata para provar uma teoria e descobre que a consciência não obedece a teoria nenhuma; O Idiota, sobre um homem bom demais para o mundo; Os Irmãos Karamázov, seu livro final e maior, onde a pergunta sobre a existência de Deus é feita por um assassino e por uma criança. Viciado em jogo, endividado a vida toda, morreu em 1881."
,Franz Kafka,Tchéquia,"Escritor tcheco de língua alemã nascido em Praga em 1883, autor de uma obra tão particular que virou adjetivo. Trabalhou a vida quase inteira num instituto de seguros contra acidentes de trabalho e escrevia à noite, com saúde ruim e uma relação difícil com o pai que ele descreveu numa carta longa e nunca entregue. Em A Metamorfose, um caixeiro-viajante acorda transformado em inseto e o horror da história não é a transformação, é a reação prática da família. Em O Processo, um homem é acusado sem nunca descobrir do quê, por um tribunal que ninguém localiza. Kafka pediu ao amigo Max Brod que queimasse tudo o que deixou. Brod desobedeceu, e por isso existem O Castelo e O Processo. Morreu de tuberculose em 1924, aos 40 anos, quase desconhecido."
george-orwell,George Orwell,Reino Unido,"Pseudônimo de Eric Arthur Blair, escritor e jornalista inglês nascido na Índia colonial em 1903. Serviu na polícia imperial britânica na Birmânia, viveu de propósito na miséria de Paris e Londres para escrever sobre ela, e lutou na Guerra Civil Espanhola, onde levou um tiro no pescoço e viu de perto como uma revolução devora os próprios aliados. Essa experiência virou Homenagem à Catalunha e formou o resto da sua obra. Em A Revolução dos Bichos, transformou a traição do ideal revolucionário numa fábula de fazenda que crianças entendem e adultos temem. Em 1984, inventou o vocabulário com que até hoje falamos de vigilância e mentira oficial: Grande Irmão, novilíngua, duplipensar. Escrevia contra o totalitarismo de qualquer lado, e defendia que escrever claro é uma forma de honestidade política. Morreu de tuberculose em 1950."
,George Sand,França,"Pseudônimo de Amantine Aurore Dupin, nascida em Paris em 1804, uma das escritoras mais lidas e mais comentadas do século XIX. Separou-se do marido numa época em que isso custava caro, criou os filhos, usava roupas masculinas para circular por onde mulheres não entravam e fumava em público, o que rendeu tanto escândalo quanto liberdade. Teve relações célebres com Musset e Chopin, que passou anos ao lado dela. Escreveu romances de paixão e depois se voltou para a vida camponesa do Berry, em livros como A Pequena Fadette e O Charco do Diabo, onde a linguagem simples e a atenção ao trabalho rural antecipam muita coisa. Defendeu causas socialistas em 1848. Foi menosprezada por gerações de críticos homens e vem sendo relida desde então. Morreu em 1876."
,Gustave Doré,França,"Ilustrador, gravador e pintor francês nascido em Estrasburgo em 1832, o mais influente ilustrador de livros do século XIX. Começou a publicar caricaturas ainda adolescente e construiu uma carreira ilustrando os grandes clássicos, com um traço dramático, cheio de contraste, profundidade e figuras minúsculas diante de paisagens imensas. Suas gravuras para a Divina Comédia, para Dom Quixote, para a Bíblia, para os contos de Perrault e para o Paraíso Perdido de Milton se colaram de tal forma às obras que muita gente ainda imagina o Inferno de Dante ou o cavaleiro de Cervantes exatamente como ele desenhou. Fez também uma série sobre a pobreza em Londres. Era prolífico ao extremo e queria ser reconhecido como pintor, o que a crítica francesa nunca lhe deu. Morreu em 1883."
,Heinrich von Kleist,Alemanha,"Escritor alemão nascido em 1777 numa família militar da Prússia, viveu 34 anos atormentados e deixou uma obra pequena e violenta que só foi entendida muito depois. Abandonou a carreira de oficial, teve uma crise ao ler Kant e concluir que a verdade é inacessível, e passou a escrever histórias em que a certeza sempre falha. Em Michael Kohlhaas, um negociante de cavalos sofre uma injustiça pequena, não consegue reparação legal e vai transformando a busca por justiça em incêndio e massacre, uma das narrativas mais assustadoras já escritas sobre direito e vingança. Escreveu também A Marquesa de O e a peça O Príncipe de Homburgo. Sua frase é longa, atropelada, cheia de subordinadas, e é assim de propósito. Matou-se em 1811, junto com uma amiga doente."
hiro-mashima,Hiro Mashima,Japão,"Mangaká japonês nascido em Nagano em 1977, conhecido pelas aventuras de fantasia com grandes elencos e senso de humor. Estreou com Rave Master e alcançou público mundial com Fairy Tail, sobre uma guilda de magos barulhentos onde o valor da amizade é levado ao extremo e quase todo conflito termina com alguém protegendo alguém. Depois veio Edens Zero, que leva a mesma energia para a ficção científica espacial. Mashima é herdeiro declarado da escola shonen de aventura: ritmo rápido, poderes criativos, muita luta e emoção sem ironia. Também é conhecido pela produtividade e por manter séries longas com publicação semanal, além de desenhar com prazer óbvio pelas próprias criações."
hirohiko-araki,Hirohiko Araki,Japão,"Mangaká japonês nascido em Sendai em 1960, criador de JoJo's Bizarre Adventure, publicada desde 1987 e dividida em partes que acompanham gerações diferentes da família Joestar. Araki é reconhecido pelo estilo visual único, com poses impossíveis inspiradas em moda e escultura clássica, paletas de cor que mudam a cada página e um senso de estranheza que ele nunca tenta domesticar. Inventou os Stands, poderes com forma própria que funcionam menos como força bruta e mais como charadas: as lutas se resolvem por dedução, não por músculo. Sua obra é uma das mais influentes e imitadas do mangá moderno, e ficou famosa também por virar fonte inesgotável de memes. Escreveu ainda um livro sobre seu método de criação de personagens."
,Italo Svevo,Itália,"Pseudônimo de Aron Ettore Schmitz, nascido em Trieste em 1861, numa cidade então austríaca de família judaica ítalo-alemã. Trabalhou em banco e depois na indústria da família, escreveu dois romances que ninguém leu e desistiu da literatura por mais de vinte anos. Voltou por acaso: seu professor de inglês em Trieste era James Joyce, que reconheceu o talento e o empurrou de volta. Em A Consciência de Zeno, um homem escreve suas memórias a pedido do psicanalista e passa o livro inteiro tentando parar de fumar, mentindo para o médico e para si mesmo, num dos primeiros e mais engraçados romances modernos sobre autoengano. A ironia é permanente e o narrador é impossível de acreditar. Morreu em 1928, num acidente de carro, já reconhecido."
,Jack London,Estados Unidos,"Nascido em San Francisco em 1876, teve uma juventude de trabalho pesado, pirataria de ostras, viagem de trem clandestina e prisão por vadiagem, antes de correr para a corrida do ouro no Klondike, de onde voltou sem ouro mas com a matéria-prima de sua obra. Escreveu O Chamado da Floresta, sobre um cão doméstico roubado e levado ao Alasca, onde reencontra o instinto; Caninos Brancos, que faz o caminho inverso; e o conto Fogo, um dos mais implacáveis já escritos sobre presunção diante da natureza. Foi socialista militante e escreveu O Tacão de Ferro, distopia sobre uma oligarquia que esmaga os trabalhadores. Produziu num ritmo brutal, ficou rico e alcoólatra, e morreu em 1916, aos quarenta anos."
,Johann Wolfgang von Goethe,Alemanha,"Nascido em Frankfurt em 1749, foi poeta, romancista, dramaturgo, cientista e ministro de estado, e é para a língua alemã o que Shakespeare é para o inglês. Ficou famoso muito jovem com Os Sofrimentos do Jovem Werther, romance em cartas sobre um amor impossível que provocou uma onda de imitação na Europa inteira, inclusive nas roupas e, segundo a lenda, nos suicídios. Passou sessenta anos escrevendo Fausto, a história do sábio que faz um pacto com Mefistófeles não por riqueza, mas por um instante que valha a pena reter. Estudou botânica, óptica e anatomia com seriedade, e brigou com a teoria das cores de Newton. Foi o centro do classicismo de Weimar ao lado de Schiller. Morreu em 1832."
,John Milton,Reino Unido,"Poeta inglês nascido em Londres em 1608, autor de Paraíso Perdido. Foi um erudito extraordinário, com domínio de várias línguas antigas, e um militante político: defendeu a república de Cromwell, escreveu em favor do divórcio e produziu na Areopagítica uma das mais duradouras defesas da liberdade de imprensa. Com a restauração da monarquia esteve em risco de execução. Ficou completamente cego por volta dos quarenta e cinco anos e compôs sua obra máxima ditando os versos, que caíam prontos, para filhas e secretários. Paraíso Perdido reconta a queda de Adão e Eva, mas ficou famoso porque o Satã de Milton é magnífico, orgulhoso e quase simpático, o que gerou séculos de discussão sobre de que lado o poeta estava. Morreu em 1674."
,Joseph Conrad,Reino Unido,"Nascido Józef Korzeniowski na Polônia sob domínio russo em 1857, ficou órfão cedo, foi para o mar aos dezesseis anos e passou duas décadas na marinha mercante antes de virar escritor em inglês, sua terceira língua. Essa biografia está em tudo o que escreveu. Em O Coração das Trevas, um marinheiro sobe um rio africano atrás do agente Kurtz e encontra o horror do colonialismo europeu descrito por dentro, livro que inspirou Apocalypse Now e que segue no centro de debates sobre representação. Em Lord Jim, examina um ato de covardia e a vida inteira gasta tentando compensá-lo. Escreveu ainda Nostromo e O Agente Secreto. Ninguém escreveu melhor sobre a distância entre a imagem que temos de nós e o que fazemos sob pressão. Morreu em 1924."
,Jules Verne,França,"Escritor francês nascido em Nantes em 1828, um dos pais da ficção científica. Estudou direito para agradar o pai, mas escolheu escrever, e encontrou no editor Hetzel a parceria que definiu sua carreira: a série Viagens Extraordinárias, romances de aventura com base científica cuidadosa. Mandou personagens ao centro da Terra, ao fundo do mar no Nautilus do capitão Nemo, à Lua num projétil disparado da Flórida e ao redor do mundo em oitenta dias na aposta de Phileas Fogg. Pesquisava obsessivamente, e por isso acertou detalhes técnicos décadas antes de existirem. Não era otimista ingênuo: seus livros tardios ficam mais sombrios sobre o que a técnica faz nas mãos erradas. Morreu em 1905, e continua entre os autores mais traduzidos do mundo."
ken-wakui,Ken Wakui,Japão,"Mangaká japonês nascido em Tóquio em 1977, autor de Tokyo Revengers. A série parte de um adulto fracassado que descobre poder voltar no tempo e tenta salvar a namorada de adolescência da morte, o que o obriga a mergulhar nas gangues de motoqueiros que marcaram sua juventude. Wakui conhece o assunto de perto, já que veio desse ambiente antes de virar desenhista, e é essa vivência que dá peso à obra: as brigas não são estilizadas, as lealdades cobram preço e quase todo personagem carrega arrependimento. Antes de Tokyo Revengers fez Desert Eagle e Shinjuku Swan, sobre o submundo de Kabukicho. Sua marca é o cruzamento entre drama de delinquentes e viagem no tempo, com foco em segunda chance."
,Liev Tolstói,Rússia,"Nascido em 1828 numa família aristocrática russa, escreveu os dois romances que costumam disputar o título de maior já feito. Em Guerra e Paz, acompanha famílias inteiras durante a invasão napoleônica e mistura batalha, salão e filosofia da história com uma naturalidade que ninguém repetiu. Em Anna Kariênina, escreveu sobre uma mulher que troca a segurança pelo desejo e paga por isso, num livro que começa com a frase mais citada da literatura sobre famílias infelizes. Depois dos cinquenta anos passou por uma crise moral que o levou a rejeitar a própria obra anterior, abraçar um cristianismo radical e não violento, defender a vida simples e brigar com a Igreja Ortodoxa, que o excomungou. Influenciou Gandhi. Morreu em 1910 numa estação de trem, tendo fugido de casa aos 82 anos."
,Luigi Pirandello,Itália,"Dramaturgo e romancista italiano nascido na Sicília em 1867, Nobel de Literatura em 1934. Viveu décadas cuidando da esposa com transtorno mental grave, e a experiência de conviver com uma realidade que não bate com a dos outros atravessa toda a sua obra. Em Seis Personagens à Procura de um Autor, personagens abandonados por seu criador invadem um ensaio de teatro e exigem que sua história seja encenada, peça que provocou tumulto na estreia e mudou o teatro do século XX. Em O Falecido Mattia Pascal, um homem é dado como morto por engano e aproveita para começar outra vida, até descobrir que ninguém existe sem os laços que o prendem. Escreveu centenas de contos. Sua obsessão é sempre a mesma: não existe um rosto só, existem os que os outros veem."
machado-de-assis,Machado de Assis,Brasil,"Maior nome da literatura brasileira e primeiro presidente da Academia Brasileira de Letras. Nasceu no Rio de Janeiro em 1839, neto de escravos alforriados, gago e epilético, e chegou ao centro da elite letrada do Império sem nunca parar de olhar para essa elite com ironia. Começou romântico e virou outra coisa a partir de 1880, quando publicou Memórias Póstumas de Brás Cubas, narrado por um defunto que escreve com a pena da galhofa e a tinta da melancolia. Depois vieram Quincas Borba, Dom Casmurro e contos que ainda hoje parecem escritos ontem. Ninguém no Brasil desconfiou tanto do próprio narrador: em Dom Casmurro, a dúvida sobre a traição de Capitu nunca se resolve, e é esse buraco que mantém o livro vivo mais de um século depois. Escreveu também poesia, teatro e crônica, e morreu em 1908."
masami-kurumada,Masami Kurumada,Japão,"Mangaká japonês nascido em Tóquio em 1953, criador de Os Cavaleiros do Zodíaco. Antes disso já fazia mangá de luta com forte código de honra, como Ring ni Kakero, mas foi em 1986, com Saint Seiya, que definiu o imaginário de uma geração inteira, especialmente no Brasil, onde o anime virou fenômeno nos anos 1990. A fórmula é sua marca: jovens guerreiros com armaduras ligadas a constelações, golpes gritados em voz alta, amizade masculina levada a sério e sacrifício como prova final de caráter. Kurumada mistura mitologia grega, esoterismo e melodrama sem nenhum pudor, e é essa falta de pudor que faz funcionar. Continuou a saga por décadas em várias sequências e spin-offs."
masashi-kishimoto,Masashi Kishimoto,Japão,"Mangaká japonês nascido em Okayama em 1974, criador de Naruto, uma das séries mais vendidas da história dos quadrinhos. A história parte de um órfão barulhento e rejeitado pela própria aldeia, que carrega dentro de si um demônio raposa e quer virar líder justamente do lugar que o despreza. Kishimoto construiu um mundo grande de vilas ninja, técnicas herdadas e ciclos de vingança, e a força da obra está menos nas lutas e mais na ideia de que a dor passa de geração em geração até alguém decidir parar. Sasuke, o rival, é um dos personagens mais discutidos do gênero. Naruto correu semanalmente de 1999 a 2014, e depois veio Boruto, sobre a geração seguinte, com Kishimoto na supervisão."
,Miguel de Cervantes,Espanha,"Nascido perto de Madri em 1547, teve uma vida de aventura e fracasso antes de escrever o livro que fundou o romance moderno. Perdeu o uso da mão esquerda na batalha de Lepanto, passou cinco anos preso por piratas em Argel depois de quatro tentativas de fuga, e no retorno à Espanha trabalhou como cobrador de impostos e foi preso por irregularidades nas contas. Publicou a primeira parte de Dom Quixote em 1605, já com quase sessenta anos: a história do fidalgo que lê tantos livros de cavalaria que decide virar cavaleiro, com Sancho Pança ao lado dizendo o óbvio. É engraçado, e vai ficando triste conforme o mundo insiste em corrigir o sonho. Escreveu também as Novelas Exemplares. Morreu em 1616."
muneyuki-kaneshiro,Muneyuki Kaneshiro,Japão,"Roteirista japonês conhecido por Blue Lock, mangá de futebol que virou fenômeno mundial. A premissa é uma provocação: depois de mais um fracasso do Japão em Copas, um projeto encerra os atacantes mais promissores do país num centro de treinamento e os coloca para competir entre si, porque a tese é que o país precisa de um egoísta genial e não de mais um jogador coletivo. Kaneshiro usa o esporte para falar de ambição, inveja e o que custa querer ser o melhor, com desenho de Yusuke Nomura. Também escreveu As Aventuras de Dai e outras obras de tensão psicológica, como Wing Man e o roteiro de séries em que a pressão mental importa mais que a técnica."
nakaba-suzuki,Nakaba Suzuki,Japão,"Mangaká japonês nascido em Fukuoka em 1977, conhecido por The Seven Deadly Sins, publicada a partir de 2012. A série mistura fantasia medieval europeia, cavaleiros amaldiçoados e comédia, acompanhando uma princesa que procura um grupo de guerreiros lendários acusados de traição para recuperar o reino. Suzuki trabalha com elencos grandes, poderes bem definidos e reviravoltas de origem, no melhor estilo shonen de aventura, com um traço leve que contrasta com temas de culpa e redenção. Antes disso fez Rising Impact, sobre golfe, e Blizzard Axel, sobre patinação. Depois seguiu com Four Knights of the Apocalypse, continuação direta do universo de Seven Deadly Sins."
naoki-urasawa,Naoki Urasawa,Japão,"Mangaká japonês nascido em Tóquio em 1960, provavelmente o maior nome do suspense em quadrinhos. Constrói tramas longas cheias de mistério, com personagens ambíguos e reviravoltas que ele planta capítulos antes. Em Monster, um neurocirurgião salva a vida de um menino e descobre anos depois que salvou um assassino, o que abre uma investigação pela Alemanha pós-Muro sobre culpa e livre-arbítrio. Em 20th Century Boys, um grupo de amigos percebe que a seita que ameaça o mundo está seguindo o plano de brincadeira que eles inventaram na infância. Fez ainda Pluto, releitura sombria de um arco de Astro Boy, e Billy Bat. Urasawa desenha rostos comuns com uma expressividade rara, e é dos poucos autores de suspense que se interessa mais pelo que a violência faz com as pessoas do que pela violência."
,Nathaniel Hawthorne,Estados Unidos,"Nascido em Salem em 1804, carregava um incômodo de família: um antepassado seu foi juiz nos julgamentos das bruxas de Salem, e ele acrescentou uma letra ao sobrenome para se afastar disso. Escreveu sobre culpa, pecado secreto e a hipocrisia da comunidade puritana da Nova Inglaterra. Em A Letra Escarlate, uma mulher condenada a usar a letra do adultério bordada no peito se recusa a nomear o pai da filha, e o romance acompanha menos o castigo dela do que o apodrecimento de quem escondeu a própria parte. Seus contos, reunidos em volumes como Contos Narrados Duas Vezes, misturam alegoria e horror moral. Trabalhou na alfândega e no consulado em Liverpool, foi amigo de Melville, que lhe dedicou Moby Dick. Morreu em 1864."
,Nikolai Gógol,Rússia,"Nascido na Ucrânia em 1809, é o autor que introduziu na literatura russa uma mistura própria de humor absurdo, grotesco e compaixão. Em O Capote, acompanha um funcionário público insignificante que junta dinheiro a duras penas para comprar um casaco novo, e a partir daí a literatura russa passou a olhar para o homem pequeno. Em O Nariz, o nariz de um funcionário simplesmente desaparece e passa a circular pela cidade em posto mais alto que o dono. Em O Inspetor Geral, ridicularizou a corrupção provincial com tanta precisão que a peça virou escândalo. Escreveu Almas Mortas, sobre um golpista que compra servos já falecidos ainda registrados. Nos últimos anos entrou em crise religiosa, queimou a continuação do romance e morreu em 1852, aos 42."
osamu-tezuka,Osamu Tezuka,Japão,"Chamado de deus do mangá, e com razão. Nascido em Osaka em 1928, formou-se em medicina mas escolheu os quadrinhos, e praticamente inventou a linguagem do mangá moderno ao trazer enquadramento de cinema, ritmo e ambição narrativa para um formato até então visto como coisa de criança. Criou Astro Boy, o menino robô que pergunta o que é ser humano; Kimba, o Leão Branco; Princesa e o Cavaleiro, um dos primeiros mangás protagonizados por uma personagem que desafia papéis de gênero; e Black Jack, sobre um cirurgião clandestino sem licença e com preços absurdos. Sua obra mais ambiciosa é Fênix, ciclo sobre morte e renascimento que ele escreveu ao longo da vida inteira e nunca terminou. Também foi pioneiro da animação japonesa. Morreu em 1989, trabalhando até o fim."
,Oscar Wilde,Irlanda,"Escritor irlandês nascido em Dublin em 1854, mestre do aforismo e figura pública brilhante na Londres vitoriana. Defendia a arte pela arte e ridicularizava a moral hipócrita da sociedade que o aplaudia. Em O Retrato de Dorian Gray, criou a fábula do rapaz que permanece jovem enquanto o retrato envelhece e absorve cada crueldade: um livro sobre beleza, influência e o preço de não pagar preço nenhum. Escreveu comédias afiadíssimas como A Importância de Ser Prudente, o drama Salomé e contos infantis de uma ternura inesperada, como O Príncipe Feliz. Foi condenado a dois anos de trabalhos forçados por relação homossexual, saiu arruinado de saúde e de reputação, e escreveu na prisão a longa carta De Profundis. Morreu em Paris em 1900, pobre."
rumiko-takahashi,Rumiko Takahashi,Japão,"Uma das mangakás mais bem-sucedidas da história, nascida em Niigata em 1957, com centenas de milhões de volumes vendidos. Estreou ainda na faculdade com Urusei Yatsura, comédia maluca sobre um garoto azarado e uma alienígena de biquíni de tigre, e nunca mais parou. Fez Maison Ikkoku, romance adulto e melancólico sobre um estudante apaixonado pela zeladora do prédio; Ranma ½, comédia de artes marciais em que o protagonista vira menina ao tomar água fria; e Inuyasha, aventura sobrenatural no Japão feudal. Takahashi domina como poucos a mistura de comédia física, sobrenatural e sentimento sincero, e escreve personagens femininas com vontade própria muito antes disso virar assunto. Em 2019 recebeu o Grande Prêmio de Angoulême, honra rara para uma autora japonesa."
ruy-barbosa,Ruy Barbosa,Brasil,"Jurista, político, diplomata e escritor baiano nascido em 1849, uma das figuras públicas mais influentes da Primeira República. Foi ministro da Fazenda no primeiro governo republicano, defensor da abolição e do federalismo, e ficou conhecido internacionalmente pela atuação na Segunda Conferência de Haia em 1907, onde defendeu a igualdade jurídica entre as nações e ganhou o apelido de Águia de Haia. Como orador e escritor, é famoso pelo português rebuscado e pela erudição exibida sem economia, o que fez dele modelo de estilo para gerações e alvo de piada para outras. Escreveu a Oração aos Moços, discurso de formatura sobre justiça, trabalho e dignidade que ainda circula. Ajudou a fundar a Academia Brasileira de Letras e morreu em 1923."
santo-agostinho,Santo Agostinho,Argélia,"Agostinho de Hipona, nascido em 354 na Numídia, atual Argélia, é um dos pensadores que mais moldaram o pensamento ocidental. Passou a juventude entre a retórica, a ambição e os prazeres, seguiu o maniqueísmo, e se converteu ao cristianismo aos trinta e poucos anos depois de uma longa crise que ele mesmo narrou. Em Confissões, escreveu o que muita gente considera a primeira autobiografia interior da história: um livro em que o autor se dirige a Deus mas acaba examinando a própria memória, o tempo e o desejo com uma franqueza que ainda incomoda. Em A Cidade de Deus, respondeu à queda de Roma propondo duas cidades que convivem, a terrena e a divina. Foi bispo de Hipona até morrer em 430, com os vândalos cercando a cidade. Filósofos que nunca foram cristãos continuam lendo ele por causa das páginas sobre tempo e sobre a natureza da vontade."
